id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01KKYDQ7TXGW0D2GVF67A3PQ4P,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.565038Z,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.565038Z,01KKYBNKHTCN0GNQ0508DMQMAK,2026-03-17T17:32:57.565038Z
01KKYDWQMQ07HF6D7XY19QCTBZ,01KKYDVVWED34MFW7JWXQAX8WM,2026-03-17T17:35:57.591485Z,01KKYDVVXBQS7GTFV5F1GQ3QR3,2026-03-17T17:35:57.591485Z,01KKYBMEKEXZ4MBKXS0R13V3EB,2026-03-17T17:35:57.591485Z
01KKYE070WK4C86VMRWY3SVXX8,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.644655Z,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.644655Z,01KKYBNKHTCN0GNQ0508DMQMAK,2026-03-17T17:37:51.644655Z
01KKYCK3G9QHXP9Q2RR2JHGV3X,01KKYCJ6S7RBKN554GX1A2GGDK,2026-03-17T17:13:13.481866Z,01KKYCJ6SWYA0147PF7D6CVQVA,2026-03-17T17:13:13.481866Z,01KKYBMEKEXZ4MBKXS0R13V3EB,2026-03-17T17:13:13.481866Z
01KKYCXTWYP5RPARFT1YTAS4KD,01KKYCWKTHD9JGPE5F478XGGX4,2026-03-17T17:19:05.118154Z,01KKYCWKV5C1SVGT78Q00E7CTB,2026-03-17T17:19:05.118154Z,01KKYBPASD704R56AKMGS82ZGV,2026-03-17T17:19:05.118154Z
01KKYE070WK4C86VMRX6HARBCN,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.644794Z,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.644794Z,01KKYBPASD704R56AKMGS82ZGV,2026-03-17T17:37:51.644794Z
01KKYDQ7TWC8NW578P6BQXPQG6,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.564828Z,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.564828Z,01KKYBMEKEXZ4MBKXS0R13V3EB,2026-03-17T17:32:57.564828Z
01KKYE070WK4C86VMRWK1RW8CG,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.644389Z,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.644389Z,01KKYBMEKEXZ4MBKXS0R13V3EB,2026-03-17T17:37:51.644389Z
01KKYERN0PS8EY9W7GTGEXPV2G,01KKYER6CB4640Z8X5TXVEJX6P,2026-03-17T17:51:12.406783Z,01KKYER6CRXX4KVR5JVSDKGX5E,2026-03-17T17:51:12.406783Z,01KKYBMEKEXZ4MBKXS0R13V3EB,2026-03-17T17:51:12.406783Z
01KKYERN0QAA5WY71QNW5Y9ZP6,01KKYER6CB4640Z8X5TXVEJX6P,2026-03-17T17:51:12.407208Z,01KKYER6CRXX4KVR5JVSDKGX5E,2026-03-17T17:51:12.407208Z,01KKYBPASD704R56AKMGS82ZGV,2026-03-17T17:51:12.407208Z
